"","glottocode","TLI0549","TLI0552","TLI0559","TLI0560","TLI0570","TLI0578","TLI0580","TLI0582","TLI0589","TLI0592","TLI0596","TLI0597","TLI0598","TLI0604","TLI0891","TLI0892","TLI0893","TLI1099","TLI1100","TLI1101","TLI1102","TLI1112","TLI1115","TLI1116"
"549","cacu1241","?","False","False","?","False","False","False","True","False","False","?","?","False","?","True","?","?","FALSE","FALSE","?","FALSE","Neither",NA,NA
"551","cahu1264","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","TRUE","TRUE","TRUE","FALSE","?","N",NA
"559","cams1241","?","False","False","?","False","False","False","False","False","False","?","?","False","?","True","?","?","FALSE","FALSE","FALSE","FALSE","Neither",NA,NA
"560","cand1248","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","?","?","FALSE","FALSE","?","N",NA
"565","cara1272","?","False","False","?","True","False","False","False","False","False","?","?","False","?","True",NA,"?","FALSE","FALSE","?","FALSE","TreeInBark",NA,NA
"567","cari1279","?","False","False","?","False","False","False","True","False","True","?","?","True","?","False","?","?","FALSE","TRUE","?","FALSE","TreeInBark",NA,NA
"576","cavi1250","True","False","?","?","False","False","?","True","False","False","False","?","False","?","?","?","False","FALSE","FALSE","TRUE","FALSE","BarkAndSkin",NA,"M"
"581","cent1394","?","?","?","True","True","False","False","?","False","?","False","True","?","False","True","True","?","?","FALSE","TRUE","FALSE","?",NA,NA
"586","cent2009","?","False","False","?","True","False","False","?","?","?","False","?","?","?","?","?","?","?","FALSE","?","FALSE","?",NA,"M"
"588","cent2050","False","False","?","?","True","False","?","False","False","False","False","?","False","?","?","?","?","TRUE","FALSE","?","FALSE","Neither","?","M"
"596","cent2128","True","False","?","False","False","False","False","False","?","?","False","?","False","?","False","False","False","FALSE","FALSE","TRUE","FALSE","?",NA,NA
"597","cent2131","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","FALSE","TRUE","TRUE","?","N","M"
"602","cent2142","False","False","?","?","False","False","?","False","False","False","True","?","False","?","?","?","False","TRUE","FALSE","FALSE","FALSE","Neither","N",NA
"604","cent2150","?","False","False","?","True","False","False","False","True","True","?","?","False","?","False","?","?","FALSE","FALSE","?","FALSE","BarkAndSkin",NA,NA
"609","chac1249","?","False","?","?","False","False","?","?","False","?","?","?","False","?","?","?","?","TRUE","FALSE","TRUE","FALSE","?",NA,"?"
"616","cham1313","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?",NA,"N"
"625","chay1248","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","FALSE","TRUE","TRUE","FALSE","?",NA,NA
"635","chew1245","?","False","False","True","True","False","?","True","False","True","False","?","False","True","True","True","?","?","FALSE","FALSE","FALSE","Neither",NA,"M"
"639","chib1270","?","?","?","?","?","?","?","?","?","?","?","?","?","?","True","False","False","?","?","?","?","?",NA,"M"
"646","chim1301","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?","?","M"
"648","chim1309","?","False","True","?","False","False","False","True","False","False","?","?","False","?","False","?","?","FALSE","FALSE","?","FALSE","Neither","N",NA
"650","chin1286","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","N","M"
"654","chip1262","False","True","?","?","False","False","?","False","False","False","False","?","False","?","?","?","False","?","FALSE","FALSE","FALSE","Neither","?",NA
"655","chiq1248","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","?","FALSE","FALSE","?","?","?"
"657","chiq1250","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","TRUE","FALSE","?","?","?"
"663","chok1243","True","False","?","?","?","?","False","?","False","?","?","?","?","?","False","False","False","FALSE","FALSE","?","FALSE","?",NA,"N"
"664","chol1278","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","N"
"670","chor1274","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?","?","?"
"671","chua1248","?","?","?","True","True","False","False","?","False","?","False","True","?","False","True","False","?","?","FALSE","FALSE","FALSE","?",NA,NA
"673","chug1252","?","False","False","?","True","?","?","?","False","?","False","?","?","?","?","?","?","TRUE","FALSE","?","FALSE","BarkAndSkin",NA,"N"
"677","chun1247","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","N"
"680","ciba1236","False","False","?","?","?","False","?","False","False","False","False","True","?","?","True","True","?","?","?","FALSE","FALSE","Neither","?","?"
"682","cine1238","False","False","?","?","?","False","?","False","False","False","False","False","?","?","False","False","?","?","?","FALSE","FALSE","Neither","?","?"
"686","clas1254","False","False","False","False","True","False","True","True","False","False","?","?","False","False","?","?","?","FALSE","FALSE","?","FALSE","Neither",NA,"?"
"691","coat1238","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?",NA,"M"
"696","cofa1242","True","False","?","?","True","False","?","True","False","False","True","?","False","?","?","?","True","TRUE","FALSE","TRUE","FALSE","BarkAndSkin",NA,NA
"697","cogu1240","?","False","False","?","True","False","False","True","False","False","?","?","False","?","False","?","?","FALSE","FALSE","?","TRUE","Neither","N","M"
