"","rec_ma+lexibank_ArmAndHand+WALS_129A","o_lexibank_CommonSubstringInBoyAndGirl","o_lexibank_CommonSubstringInManAndWoman","o_lexibank_ElbowAndKnee","o_lexibank_EyeInTear","o_lexibank_BarkAndSkin","rec_c_lexibank_FatherWithP","rec_ma+lexibank_FingerAndHand+WALS_130A","rec_mca+lexibank_FirstPersonWithM+lexibank_FirstPersonWithN+WALS_136B","rec_ma+lexibank_GreenAndBlue+WALS_134A","o_lexibank_HairAndFeather","o_lexibank_HearAndSmell","o_lexibank_FingerAndToe","o_lexibank_LegAndFoot","rec_c_lexibank_MotherWithM","o_lexibank_MouthInLip","rec_ma+lexibank_RedAndYellow+WALS_135A","rec_mca+lexibank_SecondPersonWithM+lexibank_SecondPersonWithN+lexibank_SecondPersonWithT+WALS_137B","o_lexibank_SeeAndKnow","o_lexibank_SkinInLip","o_lexibank_ThreeInEight","o_lexibank_ThreeInThirteen","o_lexibank_ToeAndFoot","o_lexibank_WaterInTear","rec_c_lexibank_WindWithF","o_lexibank_TreeInBark"
"chiq1248","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"chok1243","FALSE","True","False",NA,NA,NA,"False","FALSE",NA,NA,NA,NA,NA,"False","False",NA,"FALSE","N","False",NA,NA,NA,NA,NA,"False",NA
"chua1248",NA,NA,NA,NA,"True",NA,"True","FALSE",NA,"FALSE","True","False",NA,"False","False",NA,"FALSE",NA,"False",NA,"False","True",NA,"False",NA,NA
"chug1252","TRUE",NA,"False","False",NA,"True",NA,"FALSE",NA,NA,"True",NA,NA,NA,NA,NA,"FALSE","N","False",NA,"False",NA,NA,NA,NA,NA
"ciba1236",NA,"False","False",NA,NA,"False","True",NA,NA,"FALSE",NA,"False",NA,NA,"True","False","FALSE",NA,"False","False","False","True",NA,NA,NA,"False"
"cine1238",NA,"False","False",NA,NA,"False","False",NA,NA,"FALSE",NA,"False",NA,NA,"False","False","FALSE",NA,"False","False","False","False",NA,NA,NA,"False"
"clas1254","FALSE","False","False","False","False","False",NA,"FALSE",NA,NA,"True","False","False","True",NA,"True","FALSE",NA,"False","False",NA,NA,"False","False",NA,"False"
"cofa1242","TRUE","True","False",NA,NA,"True",NA,"FALSE",NA,"TRUE","True","False","False",NA,NA,"True","FALSE",NA,"False","False","True",NA,"False",NA,"True","False"
"cogu1240","FALSE",NA,"False","False",NA,"False","False","FALSE","N",NA,"True","False","False","False",NA,"True","TRUE","M","False","False",NA,NA,"False",NA,NA,"False"
"colo1256","TRUE",NA,"False","False",NA,"True","False","FALSE",NA,"TRUE","False","False","False","True",NA,"False","FALSE","N","False","False",NA,NA,"False",NA,NA,"False"
