"","rec_ma+lexibank_ArmAndHand+WALS_129A","o_lexibank_CommonSubstringInBoyAndGirl","o_lexibank_CommonSubstringInManAndWoman","o_lexibank_ElbowAndKnee","o_lexibank_EyeInTear","o_lexibank_BarkAndSkin","rec_c_lexibank_FatherWithP","rec_ma+lexibank_FingerAndHand+WALS_130A","rec_mca+lexibank_FirstPersonWithM+lexibank_FirstPersonWithN+WALS_136B","rec_ma+lexibank_GreenAndBlue+WALS_134A","o_lexibank_HairAndFeather","o_lexibank_HearAndSmell","o_lexibank_FingerAndToe","o_lexibank_LegAndFoot","rec_c_lexibank_MotherWithM","o_lexibank_MouthInLip","rec_ma+lexibank_RedAndYellow+WALS_135A","rec_mca+lexibank_SecondPersonWithM+lexibank_SecondPersonWithN+lexibank_SecondPersonWithT+WALS_137B","o_lexibank_SeeAndKnow","o_lexibank_SkinInLip","o_lexibank_ThreeInEight","o_lexibank_ThreeInThirteen","o_lexibank_ToeAndFoot","o_lexibank_WaterInTear","rec_c_lexibank_WindWithF","o_lexibank_TreeInBark"
"mand1476","FALSE",NA,"False",NA,"False","False","False","FALSE",NA,"FALSE","False",NA,NA,"False","False","False","FALSE","N","False","False","False","True",NA,"True",NA,"False"
"mani1292","FALSE","True","False","False","False","False","True","FALSE",NA,NA,"False","False","False","True","True","False","FALSE","N","False","False",NA,NA,"False","False","False","False"
"maon1238","TRUE","False","False",NA,"False",NA,"False","FALSE",NA,NA,NA,"False",NA,"True","False",NA,NA,"N","False",NA,NA,NA,NA,"False","False",NA
"mapu1245","FALSE",NA,"False",NA,NA,"False",NA,"FALSE",NA,"FALSE","False","False","False",NA,NA,NA,"FALSE","M","False","False","False",NA,"False",NA,"False","False"
"mara1379","FALSE","True","True","False",NA,"False","False","FALSE",NA,NA,"False","False","False","False","False","False",NA,"N","False","False",NA,NA,"False",NA,NA,"False"
"marg1253","FALSE",NA,NA,"False",NA,NA,"False",NA,NA,NA,"False","False",NA,"False","False",NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA
"marg1265",NA,"True","False",NA,NA,"False","False",NA,NA,NA,NA,"False",NA,NA,"True","True","FALSE",NA,"False","False","False","True",NA,NA,"False","False"
"marg1266",NA,"False","False",NA,NA,"False","False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE",NA,"False","False","False","False",NA,NA,NA,"False"
"mari1416","FALSE","True","True","False",NA,"False","True","FALSE",NA,NA,"False","False","False","True","False",NA,NA,"N","True",NA,NA,NA,"False",NA,NA,"False"
"mart1256",NA,NA,"False","False",NA,NA,"False",NA,NA,"FALSE","False","False",NA,"False","False",NA,"FALSE","N","False",NA,NA,NA,NA,NA,NA,NA
"masa1322",NA,"False","False",NA,NA,"False","True",NA,NA,"FALSE",NA,"False",NA,NA,"False",NA,"FALSE",NA,"False",NA,"False",NA,NA,NA,NA,NA
"mate1260",NA,"True","False","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"mauw1238",NA,NA,"False","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"mawa1266",NA,"False","True","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"mawa1267",NA,"False","True","False","False",NA,"True",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"maya1285","FALSE",NA,NA,NA,NA,NA,"True","FALSE",NA,NA,NA,NA,NA,NA,"False",NA,NA,"M",NA,NA,NA,NA,NA,NA,NA,NA
"mesm1239",NA,"False","False",NA,NA,"False","True",NA,NA,"FALSE",NA,"False",NA,NA,"False","True","FALSE",NA,"False","True","False","True",NA,NA,NA,"False"
"mezq1235","TRUE","True","False","False","False","False","False","FALSE","M","FALSE","False","False","False","False","True","False","FALSE","N","False","False","False",NA,"False","False","False","True"
"mian1254",NA,"False","False","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"miji1239",NA,NA,"False","False",NA,NA,"False","FALSE",NA,NA,NA,NA,NA,NA,"False",NA,"FALSE","N","False",NA,"False",NA,NA,NA,NA,NA
"mikm1235","FALSE",NA,NA,NA,NA,NA,NA,"FALSE",NA,"FALSE",NA,NA,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"mish1244",NA,"False","False",NA,NA,"False","False",NA,NA,NA,NA,"False",NA,NA,"False","False","FALSE",NA,"False","False","True","True",NA,NA,NA,"False"
"misk1235","FALSE",NA,"False",NA,NA,"False",NA,"FALSE",NA,"FALSE","False","False",NA,NA,NA,"False","FALSE","M","False","False","False",NA,NA,NA,NA,"True"
"mixe1288",NA,"False","False",NA,NA,"False",NA,"FALSE",NA,"TRUE","False","False","False",NA,NA,"False","FALSE",NA,"False","False",NA,NA,"False",NA,NA,"False"
"miya1266",NA,"False","False",NA,NA,"False","True",NA,NA,NA,NA,NA,NA,NA,"True",NA,"FALSE",NA,"False",NA,"False","False",NA,NA,NA,"False"
"moco1246","FALSE","True","False",NA,NA,"False",NA,"FALSE",NA,"FALSE","True","False","False",NA,NA,"False","FALSE",NA,"False","False","False",NA,"False",NA,"False","False"
"mode1248","FALSE","True","False","False","False","False",NA,"FALSE","M","FALSE","False","False","False","True",NA,"False","FALSE",NA,"False","False","False",NA,"False","False","False","False"
"moer1240",NA,"False","False","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"moha1256","TRUE","True","False",NA,NA,"False",NA,"FALSE",NA,"TRUE","False","True","False",NA,NA,"True","FALSE","M","False","False","True",NA,"False",NA,NA,NA
"moks1248","TRUE","False","False","False","False","False","False","FALSE","M","FALSE","False","False","False","True","False","False","FALSE","T","False","False","False",NA,"False","False","True","False"
"momb1254",NA,NA,"False","False",NA,"False","True",NA,NA,NA,NA,NA,NA,"True","False",NA,"FALSE",NA,NA,NA,"False",NA,NA,NA,NA,"False"
"mond1267","FALSE","True","True","False","False",NA,"True","FALSE",NA,NA,"True",NA,NA,NA,"True","True","FALSE","N","False","False","False",NA,NA,"True",NA,NA
"mong1332","FALSE","False","False",NA,"False","False","False","FALSE","N",NA,"True","False","False","True","False","False","FALSE","N","False","False",NA,NA,"False","False",NA,"False"
"more1258",NA,"False","False","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"True",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"mose1249","TRUE","True","False",NA,NA,"False",NA,"FALSE",NA,"FALSE","False","False","True",NA,NA,"False","FALSE","M","False","False","False",NA,"False",NA,"False","False"
"mosi1248",NA,"False","False","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"movi1243","FALSE","True","False",NA,NA,"False",NA,"FALSE",NA,"FALSE","False","False","False",NA,NA,"False","FALSE",NA,"False","False",NA,NA,"False",NA,"False","False"
"mudb1240",NA,NA,"False","False",NA,NA,"False",NA,NA,NA,"False","False",NA,"False","False",NA,"FALSE",NA,"False",NA,NA,NA,NA,NA,NA,NA
"muin1242","FALSE",NA,"True",NA,NA,"False",NA,"FALSE",NA,NA,NA,"False","False",NA,NA,"False","FALSE",NA,"False","False",NA,NA,"False",NA,NA,"False"
"muni1257",NA,"False","False","False","False",NA,"True",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"murl1244","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"TRUE",NA,NA,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"muru1266",NA,NA,"False","False",NA,NA,"True",NA,NA,NA,NA,"False",NA,"False","False",NA,"FALSE","N","False",NA,NA,NA,NA,NA,NA,NA
"muru1273",NA,"True",NA,"False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"muru1274","FALSE",NA,"False",NA,NA,"False",NA,"FALSE",NA,NA,"False","False","False",NA,NA,NA,"FALSE",NA,"False",NA,NA,NA,"False",NA,NA,"False"
"musa1265",NA,"False","True","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"musa1266",NA,"False","False","True","False",NA,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"muse1242",NA,"False","False",NA,NA,"False","True",NA,NA,NA,NA,"False",NA,NA,"False","True","FALSE",NA,"False","False","False","True",NA,NA,NA,"True"
"muya1239","FALSE","False","False",NA,"False",NA,NA,"FALSE",NA,"FALSE","True",NA,NA,"True",NA,"False","FALSE","N","False","False","False","False",NA,"False",NA,NA
"mwag1236","TRUE","True","True",NA,NA,"False","False","FALSE",NA,NA,NA,"False",NA,NA,"False","True","TRUE",NA,"False","False","False","True",NA,NA,"False","False"
"mzie1235","FALSE","False","True",NA,NA,NA,"True","FALSE",NA,NA,NA,NA,NA,"True","False","False",NA,"N","False",NA,NA,NA,NA,NA,NA,NA
"naaa1244","FALSE","True","False",NA,"False",NA,"False","FALSE",NA,"TRUE","True",NA,NA,"False","False","False","FALSE","N","False","False","False",NA,NA,"False",NA,NA
"nake1240",NA,"False","False","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"nana1257","TRUE","True","False","False","True","False","False","FALSE","M","FALSE","False",NA,"True","True","False","False","FALSE","T","False","False","False",NA,"False","False","False","False"
"nang1261",NA,NA,"False","False",NA,"False","True","FALSE",NA,NA,NA,NA,NA,"True","False",NA,"FALSE",NA,NA,NA,"False",NA,NA,NA,NA,"False"
"narr1259",NA,NA,"False","False",NA,NA,"False",NA,NA,NA,"False","False",NA,"False","False",NA,NA,"N","False",NA,NA,NA,NA,NA,NA,NA
"natc1249","FALSE","False","False",NA,NA,"False",NA,"TRUE",NA,"FALSE","False","False","False",NA,NA,"False","FALSE","M","False","False","False",NA,"False",NA,NA,"False"
"nava1243","FALSE",NA,NA,NA,NA,NA,"False","TRUE",NA,NA,NA,NA,NA,NA,"True",NA,NA,"N",NA,NA,NA,NA,NA,NA,"False",NA
"nede1245",NA,NA,"False",NA,"False","False","False",NA,NA,NA,"True","False",NA,NA,"False","False","FALSE",NA,"False","False","False",NA,NA,"False",NA,"True"
"nend1239",NA,"True","False","True","False",NA,"False",NA,"N",NA,NA,"False",NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,NA
"nene1249","TRUE","True","False","False","False","False","False","FALSE","M","FALSE","False","False","False","True","False","True","FALSE",NA,"False","False","False",NA,"False","False","False","False"
"nepa1254","FALSE",NA,"True",NA,NA,NA,NA,"FALSE","M","FALSE","False","False","True",NA,NA,NA,"FALSE","T","False",NA,"False","False",NA,"False",NA,"False"
"nezp1238","FALSE","False","False",NA,NA,"False",NA,"TRUE",NA,"FALSE","False","False","False",NA,NA,"False","FALSE",NA,"False","False","False",NA,"False",NA,"False","False"
"ngaa1240","FALSE",NA,"False","False",NA,NA,"False","FALSE","M",NA,"False","False",NA,"False","False",NA,"FALSE","N","False",NA,NA,NA,NA,NA,NA,NA
"ngab1239","FALSE",NA,NA,NA,NA,NA,"False","FALSE",NA,"FALSE",NA,NA,NA,NA,"True",NA,"FALSE","M",NA,NA,NA,NA,NA,NA,NA,NA
"ngal1291",NA,NA,"False",NA,NA,"False","True",NA,NA,NA,"False","False",NA,"True","False",NA,"FALSE","N","False",NA,"False",NA,NA,NA,NA,"False"
"ngam1282",NA,"False","False",NA,NA,"False","True",NA,NA,NA,NA,"False",NA,NA,"False","False","FALSE",NA,"False","False","False","True",NA,NA,NA,"False"
"ngan1291","TRUE","True","False","False","False","False","False","FALSE","M","TRUE","False","False","False","True","False","False","FALSE",NA,"False","False","False",NA,"False","False",NA,"False"
"ngar1235",NA,NA,"False","False",NA,NA,"False",NA,NA,NA,"False","False",NA,"False","False",NA,"FALSE",NA,"False",NA,NA,NA,NA,NA,NA,NA
"ngar1284",NA,"False",NA,NA,NA,"False",NA,"FALSE",NA,"FALSE","False","False",NA,NA,NA,"False","FALSE","N","False","False",NA,NA,NA,NA,NA,NA
"ngar1287","FALSE",NA,"False",NA,NA,NA,NA,"FALSE",NA,NA,"False","False",NA,NA,NA,NA,"FALSE","N","False",NA,NA,NA,NA,NA,NA,NA
"ngar1296",NA,NA,"False","False",NA,NA,"False",NA,NA,NA,"False","False",NA,"False","False",NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"ngas1240",NA,"False","False",NA,NA,"False","True",NA,NA,"FALSE",NA,NA,NA,NA,"False","False","FALSE",NA,"False","False","False","True",NA,NA,"False","False"
"nggw1242",NA,"False","False",NA,NA,"False","False",NA,NA,NA,NA,"True",NA,NA,"True",NA,NA,NA,"False",NA,"False","False",NA,NA,NA,"False"
"ngiz1242","TRUE","False","False",NA,NA,"False",NA,"TRUE",NA,"FALSE",NA,"False",NA,NA,NA,"False",NA,NA,"False","False","False","False",NA,NA,NA,"True"
"nhan1238",NA,NA,"False","False",NA,NA,"False",NA,NA,NA,"False","False",NA,"False","False",NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"nina1238",NA,"True","False",NA,NA,"True",NA,"FALSE",NA,"FALSE","False",NA,"False",NA,NA,"False","FALSE",NA,"False","False",NA,NA,"False",NA,"False","False"
"nise1244","FALSE",NA,NA,NA,NA,NA,NA,"FALSE","N",NA,NA,NA,NA,NA,NA,NA,NA,"M",NA,NA,NA,NA,NA,NA,NA,NA
"niva1238","FALSE","False","True",NA,NA,"False",NA,"FALSE",NA,"FALSE","False","False","False",NA,NA,"False","FALSE",NA,"False","False","True",NA,"False",NA,"False","False"
"nobo1238",NA,"False","False","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"noct1238",NA,"False",NA,"False",NA,"False","True","FALSE",NA,NA,"False",NA,NA,"True","False",NA,"FALSE","N","False",NA,NA,NA,NA,NA,NA,"False"
"nort2641","FALSE","False","False","False","False","False","True","FALSE",NA,"TRUE","False","False","False","False","False","False","FALSE","T","False","False","False",NA,"False","False","False","False"
"nort2646","TRUE","False","False","False","False","False","True","FALSE",NA,"FALSE","False","False","True","True","True","False","FALSE","T","False","False","False",NA,"False","False","False","False"
"nort2690","FALSE","False","False","False","False","False","False","FALSE","M","FALSE","False","False","False","True","False","False","FALSE","T","False","False","False",NA,"False","False","False","False"
"nort2697","FALSE","False","False","False","True","False","False","FALSE","M","FALSE","False","False","False","False","False","False","FALSE","T","False","False","False",NA,"False","False","False","False"
"nort2725","FALSE","False","False",NA,NA,NA,"False","FALSE",NA,NA,"False",NA,NA,"True","False",NA,NA,"N","False",NA,NA,NA,NA,NA,NA,NA
"nort2747",NA,NA,NA,NA,"False",NA,"True","FALSE",NA,"TRUE","True","False",NA,"False","True",NA,"FALSE","M","False",NA,"False","True",NA,"True",NA,NA
"nort2749",NA,NA,NA,NA,"True",NA,"True","FALSE",NA,"TRUE","True","False",NA,"False","True",NA,"FALSE",NA,"False",NA,"False","True",NA,"False",NA,NA
"nort2770",NA,"True","False",NA,NA,"False","False",NA,NA,"FALSE",NA,"False",NA,NA,"False","False","FALSE",NA,"False","False","False","True",NA,NA,NA,"False"
"nort2938",NA,"False","False",NA,NA,"False",NA,"FALSE",NA,"FALSE","False","False","False",NA,NA,"False","FALSE","T","False","False","False",NA,"False",NA,NA,"False"
"nort2943","FALSE","True","False",NA,NA,NA,NA,"TRUE",NA,"FALSE","False","False","False",NA,NA,"False","FALSE",NA,"False",NA,"False",NA,"False",NA,"False","False"
"nort2968","FALSE","False","False",NA,NA,"False",NA,"TRUE",NA,"FALSE","False","False","False",NA,NA,"False","FALSE","M","False","False","False",NA,"False",NA,NA,"False"
"nort2972","FALSE",NA,"False","False",NA,"False",NA,"FALSE","M",NA,"False","False","True","False",NA,"False","FALSE",NA,"False","False",NA,NA,"False",NA,NA,"True"
"nort3298","FALSE","True","False",NA,"False",NA,"False","FALSE",NA,"FALSE","True",NA,NA,"False","False","True","FALSE","N","False","False","False",NA,NA,"False",NA,NA
"norw1258","FALSE","False","False","False","False","False",NA,"FALSE",NA,"FALSE","False","False","False","False",NA,"False","FALSE","T","False","False","False",NA,"False","False",NA,"False"
"nucl1235","FALSE","False","False","False","False","False","False","FALSE",NA,"FALSE","False","False","False","True","True","False","FALSE","T","False","False","False",NA,"False","False","False","False"
"nucl1302","TRUE","False","False",NA,NA,"False",NA,"FALSE","M","FALSE","False","False","False",NA,NA,"False","FALSE",NA,"False","False","False",NA,"False",NA,"False","False"
"nucl1305","FALSE","True","False","False","False","False",NA,"FALSE","N","FALSE","False","False","False","False",NA,"False","FALSE","M","False","False","False",NA,"False","False",NA,"False"
"nucl1347","FALSE","True","False","False",NA,NA,"True","FALSE",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,"False","False","False",NA,NA,NA
"nucl1454",NA,"True","True",NA,NA,"False",NA,"FALSE",NA,"FALSE","False","False","False",NA,NA,"True","FALSE",NA,"True","True","True",NA,"False",NA,"False","False"
"nucl1649","FALSE","False","False",NA,NA,"False",NA,"FALSE","N","FALSE","False","False","False",NA,NA,"False",NA,"N","False","False","False",NA,"False",NA,"False","False"
"nucl1683",NA,"True","False",NA,NA,"False","True",NA,NA,NA,NA,"False",NA,NA,"True","False","FALSE",NA,"False","False","False","True",NA,NA,"False","False"
"nucl1695",NA,"True","False",NA,NA,"False","True",NA,NA,NA,NA,"True",NA,NA,"False","True",NA,NA,"False","False","False","False",NA,NA,NA,"False"
"nucl1696",NA,"False","False",NA,NA,"False","True",NA,NA,NA,NA,"False",NA,NA,"True","False","FALSE",NA,"False","False","False","False",NA,NA,"False","False"
"nuka1242","FALSE",NA,"False","False",NA,"False","False","FALSE",NA,NA,"False","False","False","False",NA,"False","FALSE","M","False","False",NA,NA,"False",NA,NA,"False"
"numa1251",NA,NA,NA,NA,"False",NA,"True","FALSE",NA,"TRUE","True","False",NA,"False","True",NA,"FALSE",NA,"False",NA,"False","True",NA,"False",NA,NA
"nunu1247",NA,NA,NA,NA,"False",NA,"True","FALSE",NA,"TRUE","True","False",NA,"False","True",NA,"FALSE",NA,"False",NA,"False","True",NA,"True",NA,NA
"nupo1240","FALSE",NA,"False","False",NA,"False","False","FALSE",NA,NA,"False","False","False","False",NA,"True","FALSE",NA,"False","True",NA,NA,"False",NA,NA,"False"
"nyam1271",NA,NA,NA,"False",NA,NA,"False",NA,NA,NA,"False","False",NA,"False","False",NA,"FALSE","N","False",NA,NA,NA,NA,NA,NA,NA
"nyam1276","TRUE",NA,NA,"False","False","False",NA,"FALSE","N",NA,"False",NA,NA,NA,NA,"True",NA,NA,"False","False","False",NA,NA,"False","False","False"
"nyan1301",NA,NA,"False","False",NA,NA,"False",NA,NA,NA,"False","False",NA,"True","False",NA,"FALSE","N","False",NA,NA,NA,NA,NA,"False",NA
"nyun1247","FALSE",NA,"True","False",NA,NA,"False","FALSE",NA,NA,"False","False",NA,"False","False",NA,"FALSE","N","False",NA,NA,NA,NA,NA,NA,NA
"nzan1240",NA,"True","False",NA,NA,"False","True",NA,NA,NA,NA,"False",NA,NA,"False",NA,NA,NA,"False",NA,"False",NA,NA,NA,NA,"False"
"ocai1244","FALSE",NA,"False","False",NA,"False","False","FALSE",NA,"TRUE","False","False","False","False",NA,"False","FALSE",NA,"False","False",NA,NA,"False",NA,NA,"False"
"ogea1238",NA,"True","False","False",NA,NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,NA,NA,NA
"oldb1235",NA,NA,"False","False",NA,"False",NA,"FALSE",NA,NA,"False","False",NA,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,"False"
"oldh1241","FALSE","False","False","False","False","False","True","FALSE",NA,"FALSE","False","False","False","False","True","False","FALSE","T","False","False","False",NA,"False","False",NA,"False"
"onei1249","FALSE","False","True",NA,NA,"False",NA,"TRUE",NA,"FALSE","False","False","False",NA,NA,NA,"FALSE","T","False",NA,"False",NA,"False",NA,"False","False"
"orej1242","TRUE",NA,"False","False",NA,"False","False","FALSE",NA,NA,"False","False",NA,"False",NA,"False",NA,NA,"True","False",NA,NA,NA,NA,NA,"False"
"oroq1238",NA,"False","False",NA,NA,"False",NA,"FALSE",NA,"FALSE","False","False",NA,NA,NA,"False","FALSE",NA,"False","False","False",NA,"False",NA,NA,"False"
"osse1243","FALSE","False","True","False","False","False","True","FALSE","M","TRUE","False","False","False","False","True","False","FALSE","T","False","False","False",NA,"False","False","False","False"
"pahn1237",NA,NA,NA,NA,"False",NA,NA,"FALSE",NA,"FALSE","True","False",NA,"False",NA,NA,"FALSE","M","False",NA,"False","True",NA,"True",NA,NA
"pall1244",NA,NA,"True","True","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"pamo1253",NA,"False","True","True","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"pana1310",NA,NA,NA,NA,"False",NA,"False","FALSE",NA,"FALSE","True","False",NA,"False","False",NA,"FALSE",NA,"False",NA,"False","False",NA,"True",NA,NA
"pand1262","FALSE",NA,NA,NA,NA,"False","True",NA,NA,NA,"False",NA,NA,"False","False",NA,"FALSE","N","False",NA,"False",NA,NA,NA,NA,"True"
"pani1258",NA,"True","False","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE",NA,NA,NA,NA,NA,NA,"False",NA,NA
"pano1254",NA,"True","False",NA,NA,"False",NA,"FALSE",NA,"TRUE","False",NA,"False",NA,NA,"False","TRUE","M","False","False",NA,NA,"False",NA,"False","True"
"pany1241","FALSE",NA,"False","False",NA,NA,"False",NA,NA,NA,NA,"False",NA,"False","False",NA,"FALSE",NA,"False",NA,NA,NA,NA,NA,NA,NA
"para1307",NA,NA,"False","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"para1311","FALSE","True","False",NA,NA,"False",NA,"FALSE",NA,"TRUE","True","False","False",NA,NA,"False","FALSE","N","False","False","False",NA,"False",NA,"False","False"
"payn1244",NA,"True","False","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"True",NA,"FALSE",NA,NA,NA,NA,NA,NA,"False",NA,NA
"pena1270",NA,NA,"False","False",NA,"False","True","FALSE",NA,NA,NA,NA,NA,"True","False",NA,"FALSE",NA,NA,NA,"False",NA,NA,NA,NA,"False"
"perg1234",NA,NA,"False","False",NA,"False","True","FALSE",NA,NA,NA,NA,NA,"True","False",NA,"FALSE",NA,NA,NA,"False",NA,NA,NA,NA,"False"
"pero1241","TRUE","False","False",NA,NA,"False","False","FALSE",NA,NA,NA,"False",NA,NA,"False","False","FALSE",NA,"False","False","False","True",NA,NA,NA,"False"
"peve1243",NA,"False","False",NA,NA,"False","True",NA,NA,"FALSE",NA,"False",NA,NA,"False","True","FALSE",NA,"True","False","False","True",NA,NA,"False","False"
"phol1237","TRUE","True","False","False","False","False","False",NA,NA,"FALSE",NA,NA,NA,"False","False","False","FALSE","N",NA,"False","False",NA,"False","False",NA,"False"
"phom1236","TRUE","False","False",NA,"True",NA,"True","FALSE",NA,NA,NA,NA,NA,"True","False",NA,NA,"N","False",NA,NA,NA,NA,"False",NA,NA
"phuz1235","TRUE","True","False","False","False","False","False",NA,NA,"FALSE",NA,NA,NA,"True","True","True","FALSE","N",NA,"False","False",NA,"False","False",NA,"True"
"piap1246","FALSE",NA,"False","False",NA,"False","False","FALSE","N",NA,"True","False",NA,"False",NA,"False","FALSE",NA,"False","False",NA,NA,NA,NA,NA,"True"
"pina1252",NA,NA,NA,NA,NA,NA,"False",NA,"N",NA,NA,NA,NA,NA,"True",NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"pint1250","FALSE",NA,"False",NA,NA,NA,"False","TRUE",NA,NA,"False","False",NA,"False","True",NA,"FALSE","N","False",NA,NA,NA,NA,NA,NA,NA
"pira1254","TRUE",NA,"False","False",NA,"False","True","FALSE",NA,NA,"False","False","False","False",NA,"False","FALSE",NA,"False","False",NA,NA,"False",NA,NA,"False"
"pitt1247","FALSE",NA,"False","False",NA,NA,"False",NA,NA,NA,"False","False",NA,"False","False",NA,"FALSE","N","False",NA,NA,NA,NA,NA,NA,NA
"plat1254","FALSE","True","False","False","True","False","False","FALSE",NA,"FALSE","False","False","False","False","False","False","FALSE",NA,"False","False","False",NA,"False","False",NA,"False"
"play1240","FALSE",NA,"False","False",NA,"False","False","FALSE",NA,NA,"False","False","False","False",NA,"False","FALSE",NA,"False","False",NA,NA,"False",NA,NA,"False"
"polc1243",NA,NA,"False",NA,NA,"False","True",NA,NA,NA,NA,NA,NA,NA,"False","False",NA,NA,"False","False","False","True",NA,NA,NA,"False"
"port1283","FALSE","True","False","False","False","False",NA,"FALSE",NA,"FALSE","False","False","False","False",NA,"False","FALSE","T","False","False","False",NA,"False","False","True","False"
"psik1239",NA,"False","False",NA,NA,"False","False",NA,NA,"TRUE",NA,"False",NA,NA,"True","False","FALSE",NA,"False","False","False","False",NA,NA,NA,"False"
"puel1244","TRUE",NA,NA,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M",NA,NA,NA,NA,NA,NA,"False",NA
"puin1248","FALSE",NA,"False",NA,NA,"False",NA,"FALSE",NA,NA,"False","False","False",NA,NA,"False","FALSE","M","False","True",NA,NA,"False",NA,NA,"True"
"pula1262","FALSE","True","False","False",NA,NA,"True","FALSE",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,"False","True","False",NA,NA,NA
"pume1238",NA,"True","False",NA,NA,"False",NA,"FALSE",NA,"FALSE","False","False","False",NA,NA,"False","TRUE","M","False","False","True",NA,"False",NA,"False","False"
"pure1242","TRUE",NA,NA,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T",NA,NA,NA,NA,NA,NA,"False",NA
"puta1243",NA,"False","False",NA,NA,"False","False",NA,NA,"FALSE",NA,"False",NA,NA,"False","False","FALSE",NA,"False","False","False","True",NA,NA,NA,"False"
"qawa1238","FALSE",NA,NA,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"T",NA,NA,NA,NA,NA,NA,"False",NA
"qili1234",NA,NA,NA,NA,NA,NA,"False","FALSE",NA,"FALSE","False",NA,NA,NA,"False",NA,"FALSE","N","False",NA,"False",NA,NA,NA,NA,NA
"quil1240","TRUE","False","False",NA,NA,"False",NA,"TRUE",NA,"TRUE","False","False","False",NA,NA,"True","FALSE",NA,"False","False","False",NA,"False",NA,"False","False"
"rahu1234","TRUE",NA,"True","False",NA,"True",NA,"FALSE",NA,NA,"True",NA,NA,NA,NA,NA,"FALSE","N","False",NA,"False",NA,NA,NA,NA,NA
"rama1270","TRUE",NA,NA,NA,NA,NA,"False","FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA,"M",NA,NA,NA,NA,NA,NA,"False",NA
"rapt1240",NA,"False","False","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
