"code_ID","new.name","value"
"GB328-1","GB328","1"
"GB329c-?","GB329c","?"
"GB329c-NA","GB329c","NA"
"GB329c-1","GB329c","1"
"GB329c-0","GB329c","0"
"GB330c-?","GB330c","?"
"GB330c-NA","GB330c","NA"
"GB330c-0","GB330c","0"
"GB330c-1","GB330c","1"
"GB331-?","GB331","?"
"GB331-0","GB331","0"
"GB331-1","GB331","1"
"GB333-1","GB333","1"
"GB333-?","GB333","?"
"GB333-0","GB333","0"
"GB334-0","GB334","0"
"GB334-?","GB334","?"
"GB334-1","GB334","1"
"GB335-0","GB335","0"
"GB335-?","GB335","?"
"GB335-1","GB335","1"
"GB336-0","GB336","0"
"GB336-?","GB336","?"
"GB336-1","GB336","1"
"GB401-?","GB401","?"
"GB401-0","GB401","0"
"GB401-1","GB401","1"
"GB402-?","GB402","?"
"GB402-0","GB402","0"
"GB402-1","GB402","1"
"GB403-?","GB403","?"
"GB403-1","GB403","1"
"GB403-0","GB403","0"
"GB408-0","GB408","0"
"GB408-?","GB408","?"
"GB408-1","GB408","1"
"GB409-0","GB409","0"
"GB409-?","GB409","?"
"GB409-1","GB409","1"
"GB410-1","GB410","1"
"GB410-?","GB410","?"
"GB410-0","GB410","0"
"GB415-0","GB415","0"
"GB415-?","GB415","?"
"GB415-1","GB415","1"
"GB421c-?","GB421c","?"
"GB421c-1","GB421c","1"
"GB421c-NA","GB421c","NA"
"GB421c-0","GB421c","0"
"GB422c-?","GB422c","?"
"GB422c-0","GB422c","0"
"GB422c-NA","GB422c","NA"
"GB422c-1","GB422c","1"
"GB430c-NA","GB430c","NA"
"GB430c-?","GB430c","?"
"GB430c-0","GB430c","0"
"GB430c-1","GB430c","1"
"GB431c-0","GB431c","0"
"GB431c-?","GB431c","?"
"GB431c-NA","GB431c","NA"
"GB431c-1","GB431c","1"
"GB432c-NA","GB432c","NA"
"GB432c-?","GB432c","?"
"GB432c-1","GB432c","1"
"GB432c-0","GB432c","0"
"GB433c-1","GB433c","1"
"GB433c-?","GB433c","?"
"GB433c-NA","GB433c","NA"
"GB433c-0","GB433c","0"
"GB480m-0","GB480m","0"
"GB480m-1","GB480m","1"
"GB480m-?","GB480m","?"
"GB500drm-?","GB500drm","?"
"GB500drm-1","GB500drm","1"
"GB500drm-0","GB500drm","0"
"GB501drm-?","GB501drm","?"
"GB501drm-1","GB501drm","1"
"GB501drm-0","GB501drm","0"
"GB510m-?","GB510m","?"
"GB510m-1","GB510m","1"
"GB510m-0","GB510m","0"
"GB522-1","GB522","1"
"GB522-0","GB522","0"
"GB522-?","GB522","?"
"GB549drmc-NA","GB549drmc","NA"
"GB549drmc-1","GB549drmc","1"
"GB549drmc-?","GB549drmc","?"
"GB549drmc-0","GB549drmc","0"
"GB550m-?","GB550m","?"
"GB550m-1","GB550m","1"
"GB550m-0","GB550m","0"
"GB551m-?","GB551m","?"
"GB551m-1","GB551m","1"
"GB551m-0","GB551m","0"
"GB552m-0","GB552m","0"
"GB552m-1","GB552m","1"
"GB552m-?","GB552m","?"
"GB553drmc-NA","GB553drmc","NA"
"GB553drmc-0","GB553drmc","0"
"GB553drmc-1","GB553drmc","1"
"GB553drmc-?","GB553drmc","?"
"GB555m-?","GB555m","?"
"GB555m-0","GB555m","0"
"GB555m-1","GB555m","1"
"GB556m-?","GB556m","?"
"GB556m-0","GB556m","0"
"GB556m-1","GB556m","1"
"GB557drm-1","GB557drm","1"
"GB557drm-?","GB557drm","?"
"GB557drm-0","GB557drm","0"
"GB558drm-?","GB558drm","?"
"GB558drm-0","GB558drm","0"
"GB558drm-1","GB558drm","1"
