"glottocode","name","isocodes","level","glottolog.macroarea","latitude","longitude","autotyp.continent","autotyp.area","comment","level1","level2","level3","level4","level5","level6","level7","level8","level9","level10","level11","level12","level13","level14","level15","level16","level17","level18","level19","level20","level21","level22","level23","level24","level25","level26","level27"
"zhon1235","Zhongu",NA,"language","Eurasia",32.43582,103.44179,"S/SE Asia","Southeast Asia",NA,"sino1245","bodi1256","bodi1257","oldm1245","tibe1276","late1253","east2771","zhon1235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zhou1234","Zhoucheng",NA,"dialect","Eurasia",25.8958633,100.0987848,"S/SE Asia","Southeast Asia",NA,"sino1245","macr1275","baic1239","sout3254","sout2730","dali1242","zhou1234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ziaa1250","Zia","zia","language","Papunesia",-7.95814,147.579,"NG and Oceania","S New Guinea",NA,"nucl1709","bina1276","bina1279","nort2909","ziaa1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zima1244","Zimakani","zik","language","Papunesia",-7.3701,141.452,"NG and Oceania","S New Guinea",NA,"anim1240","mari1437","boaz1244","zima1244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zinz1238","Zinza","zin","language","Africa",-2.64132,32.1755,"Africa","S Africa",NA,"atla1278","volt1241","benu1247","bant1294","sout3152","narr1281","east2731","nort3203","grea1289","west2841","zinz1238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zire1240","Zire","sih","language","Papunesia",-21.6544,165.482,"NG and Oceania","Oceania",NA,"aust1307","mala1545","east2712","ocea1241","sout3173","newc1243","main1286","sout3313","mids1246","zire1240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zizi1238","Zizilivakan","ziz","language","Africa",10.4689,13.5233,"Africa","African Savannah",NA,"afro1255","chad1250","bium1280","sout3145","bium1271","gude1247","gude1248","zizi1238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zoee1240","Zo'é","pto","language","South America",-1.77208,-55.50746,"S America","NE South America",NA,"tupi1275","east2909","mawe1252","awet1245","tupi1276","tupi1281","waya1271","zoee1241","zoee1240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zoog1238","Zoogocho Zapotec","zpq","language","North America",17.2016,-96.3433,"C America","Mesoamerica",NA,"otom1299","east2557","popo1292","zapo1436","zapo1437","nucl1765","core1259","nort2987","cajo1239","zoog1238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zulg1242","Zulgo-Gemzek","gnd","language","Africa",10.827,14.0578,"Africa","African Savannah",NA,"afro1255","chad1250","bium1280","nort3156","marg1267","mofu1249","meri1245","zulg1242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zuni1245","Zuni","zun","language","North America",35.0056,-108.782,"W N America","Basin and Plains",NA,"zuni1245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adyg1241","Adyghe","ady","language","Eurasia",44,39.33,"W and SW Eurasia","Greater Mesopotamia",NA,"abkh1242","circ1239","adyg1241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afar1241","Afar","aar","language","Africa",12.2281,41.8083,"Africa","Greater Abyssinia",NA,"afro1255","cush1243","east2699","lowl1267","saho1245","afar1241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amah1246","Amahuaca","amc","language","South America",-10.2012,-72.3208,"S America","NE South America",NA,"pano1259","pano1256","main1279","pano1257","head1239","amah1246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aman1265","Amanab","amn","language","Papunesia",-3.51516,141.178,"NG and Oceania","N Coast New Guinea",NA,"bord1247","wari1265","aman1265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ambu1247","Ambulas","abt","language","Papunesia",-3.7801,143.059,"NG and Oceania","N Coast New Guinea",NA,"nduu1242","nucl1642","ambu1246","ambu1247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amel1241","Amele","aey","language","Papunesia",-5.29126,145.687,"NG and Oceania","N Coast New Guinea",NA,"nucl1709","mada1298","croi1234","mabu1247","gumm1240","amel1241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ango1254","Angor","agg","language","Papunesia",-3.7167,141.199,"NG and Oceania","N Coast New Guinea",NA,"sena1264","ango1254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anua1242","Anuak","anu","language","Africa",7.57714,34.0267,"Africa","Greater Abyssinia",NA,"nilo1247","west2493","lwoo1234","nort2814","anua1242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"apal1257","Apalaí","apy","language","South America",1.49792,-54.7457,"S America","NE South America",NA,"cari1283","apal1257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"apur1254","Apurinã","apu","language","South America",-8.21692,-66.7714,"S America","NE South America",NA,"araw1281","sout3131","puru1269","puru1265","apur1254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"arao1248","Araona","aro","language","South America",-12.4242,-67.7293,"S America","NE South America",NA,"pano1259","taca1255","taka1267","taka1268","arao1247","arao1248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"arhu1242","Arhuaco","arh","language","South America",10.7018,-73.6363,"S America","NE South America",NA,"chib1249","core1252","magd1236","nort3000","arhu1241","east2571","arhu1242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"asha1243","Asháninka","cni","language","South America",-11.9311,-73.9073,"S America","NE South America",NA,"araw1281","sout3131","kamp1244","prea1240","asha1244","asha1241","asha1242","asha1243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"atzi1235","Atzingo Matlatzinca","ocu","language","North America",19.3871,-99.9239,"C America","Mesoamerica",NA,"otom1299","west2783","otop1241","otop1242","matl1258","atzi1235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"awac1239","Awa-Cuaiquer","kwi","language","South America",1.21652,-78.3401,"S America","Andean",NA,"barb1265","awas1234","awac1239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"barb1263","Barbareño","boi","language","North America",34.462,-119.699,"W N America","California",NA,"chum1262","sout3132","cent2139","barb1263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
