"code_ID","new.name","value"
"GB432c-NA","GB432c","NA"
"GB432c-?","GB432c","?"
"GB432c-1","GB432c","1"
"GB432c-0","GB432c","0"
"GB620drmc-1","GB620drmc","1"
"GB620drmc-NA","GB620drmc","NA"
"GB620drmc-?","GB620drmc","?"
"GB620drmc-0","GB620drmc","0"
"GB621drmc-1","GB621drmc","1"
"GB621drmc-NA","GB621drmc","NA"
"GB621drmc-?","GB621drmc","?"
"GB621drmc-0","GB621drmc","0"
"GB622drmc-1","GB622drmc","1"
"GB622drmc-NA","GB622drmc","NA"
"GB622drmc-0","GB622drmc","0"
"GB622drmc-?","GB622drmc","?"
"GB557drm-1","GB557drm","1"
"GB557drm-?","GB557drm","?"
"GB557drm-0","GB557drm","0"
"GB559drm-?","GB559drm","?"
"GB559drm-1","GB559drm","1"
"GB559drm-0","GB559drm","0"
"GB558drm-?","GB558drm","?"
"GB558drm-0","GB558drm","0"
"GB558drm-1","GB558drm","1"
"GB595m-?","GB595m","?"
"GB595m-0","GB595m","0"
"GB595m-1","GB595m","1"
"GB024ri-2","GB024ri","2"
"GB024ri-1","GB024ri","1"
"GB024ri-?","GB024ri","?"
"GB024ri-NA","GB024ri","NA"
"GB995S-adj-noun and noun-dem","GB995S","adj-noun and noun-dem"
"GB995S-noun-adj and noun-dem","GB995S","noun-adj and noun-dem"
"GB995S-?","GB995S","?"
"GB995S-adj-noun and dem-noun","GB995S","adj-noun and dem-noun"
"GB995S-noun-adj and dem-noun","GB995S","noun-adj and dem-noun"
"GB065ri-1","GB065ri","1"
"GB065ri-2","GB065ri","2"
"GB065ri-?","GB065ri","?"
"GB065ri-NA","GB065ri","NA"
"GB074c-0","GB074c","0"
"GB074c-1","GB074c","1"
"GB074c-?","GB074c","?"
"GB074c-NA","GB074c","NA"
"GB075c-1","GB075c","1"
"GB075c-0","GB075c","0"
"GB075c-?","GB075c","?"
"GB075c-NA","GB075c","NA"
"GB130ri-1","GB130ri","1"
"GB130ri-2","GB130ri","2"
"GB130ri-?","GB130ri","?"
"GB130ri-NA","GB130ri","NA"
"GB131-0","GB131","0"
"GB131-1","GB131","1"
"GB131-?","GB131","?"
"GB203ri-2","GB203ri","2"
"GB203ri-?","GB203ri","?"
"GB203ri-1","GB203ri","1"
"GB203ri-NA","GB203ri","NA"
"GB022c-?","GB022c","?"
"GB022c-0","GB022c","0"
"GB022c-NA","GB022c","NA"
"GB022c-1","GB022c","1"
"GB023c-?","GB023c","?"
"GB023c-1","GB023c","1"
"GB023c-NA","GB023c","NA"
"GB023c-0","GB023c","0"
"GB132-0","GB132","0"
"GB132-1","GB132","1"
"GB132-?","GB132","?"
"GB133C-1","GB133C","1"
"GB133C-0","GB133C","0"
"GB133C-NA","GB133C","NA"
"GB133C-?","GB133C","?"
"GB421c-?","GB421c","?"
"GB421c-1","GB421c","1"
"GB421c-NA","GB421c","NA"
"GB421c-0","GB421c","0"
"GB422c-?","GB422c","?"
"GB422c-0","GB422c","0"
"GB422c-NA","GB422c","NA"
"GB422c-1","GB422c","1"
"GB552m-0","GB552m","0"
"GB552m-1","GB552m","1"
"GB552m-?","GB552m","?"
"GB047-?","GB047","?"
"GB047-1","GB047","1"
"GB047-0","GB047","0"
"GB048-?","GB048","?"
"GB048-1","GB048","1"
"GB048-0","GB048","0"
"GB590mC-NA","GB590mC","NA"
"GB590mC-?","GB590mC","?"
"GB590mC-0","GB590mC","0"
"GB590mC-1","GB590mC","1"
"GB591mC-1","GB591mC","1"
"GB591mC-NA","GB591mC","NA"
"GB591mC-0","GB591mC","0"
"GB591mC-?","GB591mC","?"
"GB501drm-?","GB501drm","?"
"GB501drm-1","GB501drm","1"
"GB501drm-0","GB501drm","0"
"GB158-?","GB158","?"
"GB158-1","GB158","1"
"GB158-0","GB158","0"
"GB159-?","GB159","?"
"GB159-1","GB159","1"
"GB159-0","GB159","0"
"GB953drmcC-NA","GB953drmcC","NA"
"GB953drmcC-?","GB953drmcC","?"
"GB953drmcC-0","GB953drmcC","0"
"GB953drmcC-1","GB953drmcC","1"
"GB954drmcC-0","GB954drmcC","0"
"GB954drmcC-?","GB954drmcC","?"
"GB954drmcC-1","GB954drmcC","1"
"GB954drmcC-NA","GB954drmcC","NA"
"GB020c-?","GB020c","?"
"GB020c-1","GB020c","1"
"GB020c-NA","GB020c","NA"
"GB020c-0","GB020c","0"
"GB550m-?","GB550m","?"
"GB550m-1","GB550m","1"
"GB550m-0","GB550m","0"
"GB021c-?","GB021c","?"
"GB021c-0","GB021c","0"
"GB021c-NA","GB021c","NA"
