"code_ID","short.name","value"
"TLI0928-?","TLI0928","?"
"TLI0928-num-noun","TLI0928","num-noun"
"TLI0928-NA","TLI0928","NA"
"TLI0929-NA","TLI0929","NA"
"TLI0929-?","TLI0929","?"
"TLI0929-Final","TLI0929","Final"
"TLI0929-Initial","TLI0929","Initial"
"TLI0929-Second","TLI0929","Second"
"TLI0930-clitics or affixes","TLI0930","clitics or affixes"
"TLI0930-?","TLI0930","?"
"TLI0930-pronouns in different position","TLI0930","pronouns in different position"
"TLI0930-pronouns in subject position","TLI0930","pronouns in subject position"
"TLI0931-?","TLI0931","?"
"TLI0931-FALSE","TLI0931","FALSE"
"TLI0931-TRUE","TLI0931","TRUE"
"TLI0932-?","TLI0932","?"
"TLI0932-TRUE","TLI0932","TRUE"
"TLI0932-FALSE","TLI0932","FALSE"
"TLI0933-?","TLI0933","?"
"TLI0933-TRUE","TLI0933","TRUE"
"TLI0933-FALSE","TLI0933","FALSE"
"TLI0934-?","TLI0934","?"
"TLI0934-TRUE","TLI0934","TRUE"
"TLI0934-FALSE","TLI0934","FALSE"
"TLI0935-?","TLI0935","?"
"TLI0935-FALSE","TLI0935","FALSE"
"TLI0935-TRUE","TLI0935","TRUE"
"TLI0936-?","TLI0936","?"
"TLI0936-TRUE","TLI0936","TRUE"
"TLI0936-FALSE","TLI0936","FALSE"
"TLI0937-?","TLI0937","?"
"TLI0937-FALSE","TLI0937","FALSE"
"TLI0937-TRUE","TLI0937","TRUE"
"TLI0938-?","TLI0938","?"
"TLI0938-TRUE","TLI0938","TRUE"
"TLI0938-FALSE","TLI0938","FALSE"
"TLI0939-?","TLI0939","?"
"TLI0939-FALSE","TLI0939","FALSE"
"TLI0939-TRUE","TLI0939","TRUE"
"TLI0940-?","TLI0940","?"
"TLI0940-TRUE","TLI0940","TRUE"
"TLI0940-FALSE","TLI0940","FALSE"
"TLI0943-?","TLI0943","?"
"TLI0943-FALSE","TLI0943","FALSE"
"TLI0943-TRUE","TLI0943","TRUE"
"TLI0945-?","TLI0945","?"
"TLI0945-FALSE","TLI0945","FALSE"
"TLI0945-TRUE","TLI0945","TRUE"
"TLI0947-?","TLI0947","?"
"TLI0947-TRUE","TLI0947","TRUE"
"TLI0947-FALSE","TLI0947","FALSE"
"TLI0951-?","TLI0951","?"
"TLI0951-TRUE","TLI0951","TRUE"
"TLI0951-FALSE","TLI0951","FALSE"
"TLI0952-TRUE","TLI0952","TRUE"
"TLI0952-?","TLI0952","?"
"TLI0952-FALSE","TLI0952","FALSE"
"TLI0953-?","TLI0953","?"
"TLI0953-unrelated","TLI0953","unrelated"
"TLI0953-related","TLI0953","related"
"TLI0954-?","TLI0954","?"
"TLI0954-FALSE","TLI0954","FALSE"
"TLI0954-TRUE","TLI0954","TRUE"
"TLI0955-?","TLI0955","?"
"TLI0955-FALSE","TLI0955","FALSE"
"TLI0955-TRUE","TLI0955","TRUE"
"TLI0956-?","TLI0956","?"
"TLI0956-FALSE","TLI0956","FALSE"
"TLI0956-TRUE","TLI0956","TRUE"
"TLI0957-?","TLI0957","?"
"TLI0957-TRUE","TLI0957","TRUE"
"TLI0957-FALSE","TLI0957","FALSE"
"TLI0958-?","TLI0958","?"
"TLI0958-TRUE","TLI0958","TRUE"
"TLI0958-FALSE","TLI0958","FALSE"
