"","glottocode","TLI0549","TLI0552","TLI0559","TLI0560","TLI0570","TLI0578","TLI0580","TLI0582","TLI0589","TLI0592","TLI0596","TLI0597","TLI0598","TLI0604","TLI0860","TLI0891","TLI0892","TLI0893","TLI0958","TLI0959","TLI1044","TLI1083","TLI1099","TLI1100","TLI1101","TLI1102","TLI1112"
"272","bagu1252","False","False","False","False","?","False","?","?","?","?","?","?","?","False","?","False","False","?","?","?","?","?","?","?","?","FALSE","?"
"277","bahi1254","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","TRUE","FALSE","?"
"280","baim1245","True","False","False","False","?","False","?","?","?","?","?","?","?","False","?","False","False","?","?","?","?","?","?","?","?","FALSE","?"
"303","bamb1262","False","False","?","?","False","False","?","True","False","False","False","?","False","?","?","?","?","False","?","?","?","?","?","FALSE","?","FALSE","Neither"
"306","bamb1269","True","False","False","?","?","?","False","?","?","?","False","True","False","?","decimal","True","False","?","TRUE","?","first, two-th, three-th","logical meanings","TRUE","FALSE","?","?","?"
"312","bana1292","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?"
"313","bana1305","False","False","?","?","?","False","?","False","False","False","False","True","?","?","?","False","True","False","?","?","?","?","?","?","?","FALSE","Neither"
"321","bang1339","?","False","False","?","False","False","False","?","False","?","?","?","?","?","?","True","False",NA,"?","?","?","?","?","?","?","FALSE","?"
"324","bang1363","?","False","?","?","?","?","?","?","?","?","False","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","?","FALSE","Neither"
"329","bank1259","?","False","?","?","?","?","?","?","?","?","False","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","?","FALSE","Neither"
"337","bara1380","?","True","False","?","False","False","False","True","False","False","?","?","False","?","restricted","False",NA,NA,"FALSE","?",NA,"?","FALSE","FALSE","?","FALSE","TreeInBark"
"342","barg1252","False","False","False","False","?","False","?","?","?","?","?","?","?","False","?","False","False","?","?","?","?","?","?","?","?","FALSE","?"
"344","bari1297","?","False","?","?","False","False","False","?","False","False","?","?","?","?","?","?","?","False","?","?","?","?","FALSE","FALSE","?","FALSE","Neither"
"349","basa1284","?","?","False","False","False","?","?","False","False","False","False","?","?","False","decimal","?","?","False","?","?","?","?","?","?","?","?","Neither"
"350","basq1248","False","False","?","?","?","False","?","False","False","False","False","?","False","?","vigesimal","?","?","False","TRUE","TRUE","first, two-th, three-th","?","FALSE","FALSE","?","FALSE","?"
"360","bata1314","False","False","?","?","?","False","?","False","False","False","False","False","?","?","?","True","True","?","?","?","?","?","?","?","FALSE","FALSE","Neither"
"367","bauu1244","True","False","False","False","?","False","?","?","?","?","?","?","?","False","?","False","False","?","?","?","?","?","?","?","?","FALSE","?"
"368","bauw1240","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","True","False","?","?","?","?","?","?","?","?","?","?"
"369","bauz1241","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","TRUE","FALSE","?"
"371","bayu1240","?","False","False","?","False","False","False","?","False","?","?","?","?","?","?","False","False",NA,"?","?","?","?","?","?","?","FALSE","?"
"372","beam1240","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?"
"381","bela1254","False","True","False","False","False","False","True","False","False","False","False","?","False","False","?","True","True","?","TRUE","?","first, second, three-th","?","TRUE","FALSE","FALSE","FALSE","Neither"
"388","bemb1257","?","?","False","False","False","?","?","False","False","False","?","?","?","False","?","?","?","False","?","?","?","?","FALSE","FALSE","?","?","Neither"
"392","beng1280","False","False","False","False","False","False","True","False","False","False","False","?","False","False","?","True","True","False","TRUE","TRUE","first, two-th, three-th","logical meanings","FALSE","FALSE","FALSE","FALSE","Neither"
"395","bent1238","?","?","False","?","?","?","True","?","?","?","False","?","?","?","?","True","?","?","?","?","?","?","?","FALSE","?","FALSE","Neither"
"396","beot1247","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","TRUE","?","?","?"
"397","bepo1240","True","False","False","False","?","False","?","?","?","?","?","?","?","False","?","False","False","?","?","?","?","?","?","?","?","FALSE","?"
"402","beri1254","True","False","?","?","?","False","?","?","False","?","True","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","TRUE","FALSE","?"
