"","ID","Name","Macroarea","Latitude","Longitude","Glottocode","ISO639P3code","Family","Subfamily","Genus","GenusIcon","ISO_codes","Samples_100","Samples_200","Country_ID","Source","Parent_ID"
"2092","sia","Siane","Papunesia",-6.08333333333,145.2,"sian1257","snp","Trans-New Guinea","Kainantu-Goroka","Siane-Yagaria","","snp","false","false","PG","Salisbury-1956","genus-sianeyagaria"
"2093","sid","Sidaama","Africa",6.66666666667,38.5,"sida1246","sid","Afro-Asiatic","Cushitic","Highland East Cushitic","","sid","false","false","ET","Kawachi-2007","genus-highlandeastcushitic"
"2094","sik","Sika","Papunesia",-8.7,122.25,"sika1262","ski","Austronesian","","Central Malayo-Polynesian","","ski","false","false","ID","Arndt-1931","genus-centralmalayopolynesian"
"2095","sil","Sila","Africa",12.3333333333,21.75,"dars1235","dau","Eastern Sudanic","","Daju","","dau","false","false","TD","Jungraithmayr-1981 Tucker-and-Bryan-1966","genus-daju"
"2096","sim","Simeulue","Papunesia",2.5,96.25,"sime1241","smr","Austronesian","","Northwest Sumatra-Barrier Islands","","smr","false","false","ID","Abdullah-Faridan-et-al-1983 Kahler-1963","genus-northwestsumatrabarrierislands"
"2097","sin","Siona","South America",0.333333333333,-76.25,"sion1247","snn","Tucanoan","","Tucanoan","","snn","false","false","EC CO","Derbyshire-and-Payne-1990 Espinosa-Perez-1955 Huber-and-Reed-1992 Wheeler-1962 Wheeler-1970 Wheeler-1987 Wheeler-and-Wheeler-1962","genus-tucanoan"
"2098","sio","Sio","Papunesia",-5.95,147.333333333,"sioo1240","xsi","Austronesian","Eastern Malayo-Polynesian","Oceanic","","xsi","false","false","PG","Clark-and-Clark-1987 Soetenga-1993","genus-oceanic"
"2099","sir","Siar","Papunesia",-4.66666666667,152.916666667,"siar1238","sjr","Austronesian","Eastern Malayo-Polynesian","Oceanic","","sjr","false","false","PG","Ross-2002f","genus-oceanic"
"2100","sis","Sisiqa","Papunesia",-7,156.833333333,"baba1268","baa","Austronesian","Eastern Malayo-Polynesian","Oceanic","","baa","false","false","SB","Ross-2002l","genus-oceanic"
"2101","siu","Siuslaw","North America",44,-124,"sius1254","sis","Oregon Coast","","Siuslawan","","sis","false","false","US","Frachtenberg-1914 Frachtenberg-1922b Mithun-1999 Nichols-1992 Stolz-1996","genus-siuslawan"
"2102","ski","Saami (Kildin)","Eurasia",67,37,"kild1236","sjd","Uralic","Finno-Ugric","Saami","","sjd","false","false","RU","Kert-1971","genus-saami"
"2103","skk","Sikkimese","Eurasia",27.8333333333,88.5,"sikk1242","sip","Sino-Tibetan","Tibeto-Burman","Bodic","","sip","false","false","IN","Sandberg-1888","genus-bodic"
"2104","skl","Sikule","Papunesia",2.66666666667,96,"siku1242","skh","Austronesian","","Northwest Sumatra-Barrier Islands","","skh","false","false","ID","Kohler-1955","genus-northwestsumatrabarrierislands"
"2105","skm","Sukuma","Africa",-2.83333333333,32,"suku1261","suk","Niger-Congo","Benue-Congo","Bantu","","suk","false","false","TZ","Batibo-1985","genus-bantu"
