"","ID","Name","Description","ColumnSpec","Chapter_ID"
"172","144E","Multiple Negative Constructions in SVO Languages",NA,NA,144
"173","144F","Obligatory Double Negation in SVO languages",NA,NA,144
"174","144G","Optional Double Negation in SVO languages",NA,NA,144
"175","144H","NegSVO Order",NA,NA,144
"176","144I","SNegVO Order",NA,NA,144
"177","144J","SVNegO Order",NA,NA,144
"178","144K","SVONeg Order",NA,NA,144
"179","144L","The Position of Negative Morphemes in SOV Languages",NA,NA,144
"180","144M","Multiple Negative Constructions in SOV Languages",NA,NA,144
"181","144N","Obligatory Double Negation in SOV languages",NA,NA,144
"182","144O","Optional Double Negation in SOV languages",NA,NA,144
"183","144P","NegSOV Order",NA,NA,144
"184","144Q","SNegOV Order",NA,NA,144
"185","144R","SONegV Order",NA,NA,144
"186","144S","SOVNeg Order",NA,NA,144
"187","144T","The Position of Negative Morphemes in Verb-Initial Languages",NA,NA,144
"188","144U","Double negation in verb-initial languages",NA,NA,144
"189","144V","Verb-Initial with Preverbal Negative",NA,NA,144
"190","144W","Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object",NA,NA,144
"191","144X","Verb-Initial with Clause-Final Negative",NA,NA,144
"192","144Y","The Position of Negative Morphemes in Object-Initial Languages",NA,NA,144
