"glottocode","name","isocodes","level","glottolog.macroarea","latitude","longitude","autotyp.continent","autotyp.area","comment","level1","level2","level3","level4","level5","level6","level7","level8","level9","level10","level11","level12","level13","level14","level15","level16","level17","level18","level19","level20","level21","level22","level23","level24","level25","level26","level27"
"west2599","West Kewa","kew","language","Papunesia",-6.32097,143.73,"NG and Oceania","Interior New Guinea",NA,"nucl1709","enga1254","kewa1249","anga1291","anga1313","kewa1250","west2599",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"west2615","Western Apache","apw","language","North America",33.8574,-110.123,"W N America","Basin and Plains",NA,"atha1245","atha1246","atha1247","apac1239","sout3151","west2810","west2615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"west2618","Western Canadian Inuktitut","ikt","language","North America",64.3486,-96.148,"E N America","E North America",NA,"eski1264","eski1265","inui1246","west2618",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"west2624","Western Huasteca Nahuatl","nhw","language","North America",21.3711,-98.7711,"C America","Mesoamerica",NA,"utoa1244","sout3136","cora1261","azte1234","east2720","huas1257","west2624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"west2635","Akateko","knj","language","North America",15.5932,-91.8421,"C America","Mesoamerica",NA,"maya1287","core1254","west2865","kanj1261","kanj1262","kanj1263","west2635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"west2644","Western Highland Chatino","ctp","language","North America",16.2495,-97.3244,"C America","Mesoamerica",NA,"otom1299","east2557","popo1292","zapo1436","chat1268","core1263","coas1314","east2736","west2644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"west2763","Western Neo-Aramaic","amw","language","Eurasia",33.8162,36.484,"W and SW Eurasia","Greater Mesopotamia",NA,"afro1255","semi1276","west2786","cent2236","nort3165","aram1259","impe1236","midd1367","west2815","west2763",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"west2778","Western Durango Nahuatl","azn","language","North America",22.6,-104.9,"C America","Mesoamerica",NA,"utoa1244","sout3136","cora1261","azte1234","west2809","west2814","west2825","dura1246","west2778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"whit1269","Whitesands","tnp","language","Papunesia",-19.5019,169.381,"NG and Oceania","Oceania",NA,"aust1307","mala1545","east2712","ocea1241","sout3173","sout2868","tann1242","nort3218","whit1270","whit1269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wikm1247","Wik-Mungkan","wim","language","Australia",-13.98051,141.81611,"Australia","N Australia",NA,"pama1250","pama1251","comp1236","wika1239","kuku1276","kuku1277","mung1276","mung1277","wikm1247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wila1240","Wilawila","wil","language","Australia",-14.9105,126.6,"Australia","N Australia",NA,"worr1236","nort2751","wila1240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"winj1235","Winjarumi",NA,"language","Australia",-15.355178,124.539184,"Australia","N Australia",NA,"worr1236","west2435","winj1235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wint1259","Wintu","wit","language","North America",39.7176,-122.445,"W N America","California",NA,"wint1258","wint1259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wira1262","Wiradhuri","wrh","language","Australia",-34.0742,145.994,"Australia","S Australia",NA,"pama1250","sout3135","wira1261","wira1262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wira1265","Wirangu","wgu","language","Australia",-32,134,"Australia","S Australia",NA,"pama1250","aran1266","thur1253","wira1265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wiru1244","Wiru","wiu","language","Papunesia",-6.35863,144.214,"NG and Oceania","Interior New Guinea",NA,"wiru1244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"woii1237","Woi","wbw","language","Papunesia",-1.62746,135.484,"NG and Oceania","N Coast New Guinea",NA,"aust1307","mala1545","east2712","sout3229","cend1238","yape1249","cent2277","ansu1238","woii1237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"woiw1237","Woiwurrung-Thagungwurrung","wyi","language","Australia",-37.64264501,145.5879962,"Australia","S Australia",NA,"pama1250","sout3135","vict1234","kuli1256","kuli1251","nucl1335","woiw1237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wola1242","Wolaytta","wal","language","Africa",6.32668,37.7537,"Africa","Greater Abyssinia",NA,"gong1255","omet1238","nort3161","cent2046","wola1242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wola1253","Wolane","wle","language","Africa",8.23,38.14,"Africa","Greater Abyssinia",NA,"afro1255","semi1276","west2786","ethi1244","sout3078","hara1270","silt1239","wola1253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wole1240","Woleaian","woe","language","Papunesia",7.37957,143.916,"NG and Oceania","Oceania",NA,"aust1307","mala1545","east2712","ocea1241","micr1243","cent2276","west2844","pona1247","truk1243","nucl1749","wole1240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"woli1241","Wolio","wlo","language","Papunesia",-5.33,122.67,"NG and Oceania","Oceania",NA,"aust1307","mala1545","cele1242","kail1255","wotu1239","isla1281","woli1240","woli1241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"woly1239","Wolyamidi",NA,"dialect","Australia",-15.557223,126.22155,"Australia","N Australia",NA,"worr1236","ngar1284","woly1239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wood1236","Woods Cree","cwd","language","North America",57,-99,"E N America","E North America",NA,"algi1248","algo1256","algo1257","cree1271","cree1272","wood1236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"worr1237","Worrorra","wro","language","Australia",-15.612781,124.881218,"Australia","N Australia",NA,"worr1236","west2435","worr1237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"woun1238","Woun Meu","noa","language","South America",8.5,-78,"S America","Andean",NA,"choc1280","woun1238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wuna1249","Wunambal","wub","language","Australia",-14.8347,125.72,"Australia","N Australia",NA,"worr1236","nort2751","wuna1249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wurl1240","Wurla",NA,"dialect","Australia",-16.15,127.52,"Australia","N Australia",NA,"worr1236","ngar1284","wurl1240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wutu1241","Wutunhua","wuh","language","Eurasia",35.269,101.957,"N-C Asia","Inner Asia",NA,"sino1245","sini1245","clas1255","midd1354","nort3155","mand1471","wutu1241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wuvu1239","Wuvulu-Aua","wuv","language","Papunesia",-1.73938,142.851,"NG and Oceania","N Coast New Guinea",NA,"aust1307","mala1545","east2712","ocea1241","admi1239","west2532","wuvu1239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wyan1247","Huron-Wyandot","wya","language","North America",44.33,-77.5,"E N America","E North America",NA,"iroq1247","nort2947","wyan1247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"xamt1239","Xamtanga","xan","language","Africa",12.4479,38.8352,"Africa","Greater Abyssinia",NA,"afro1255","cush1243","cent2193","nort3158","nort3163","xamt1239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"xara1244","Xârâcùù","ane","language","Papunesia",-21.7034,165.996,"NG and Oceania","Oceania",NA,"aust1307","mala1545","east2712","ocea1241","sout3173","newc1243","main1286","sout3313","mids1246","xara1244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"xava1240","Xavánte","xav","language","South America",-14.3017,-52.4367,"S America","NE South America",NA,"nucl1710","jeee1236","jece1235","xava1240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"xhos1239","Xhosa","xho","language","Africa",-31.0389,28.0769,"Africa","S Africa",NA,"atla1278","volt1241","benu1247","bant1294","sout3152","narr1281","east2731","sout3387","nucl1826","dims1234","ngun1280","ngun1276","nucl1827","ngun1267","xhos1239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"xinc1242","Xinca-Chiquimulilla",NA,"language","North America",14.083301,-90.380259,"C America","Mesoamerica",NA,"xinc1237","xinc1244","xinc1242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"xinc1243","Xinca-Yupiltepeque",NA,"language","North America",14.194497,-89.790974,"C America","Mesoamerica",NA,"xinc1237","yupi1268","xinc1243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"xinc1246","Xinca-Guazacapan",NA,"language","North America",14.069981,-90.416651,"C America","Mesoamerica",NA,"xinc1237","xinc1246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"xink1235","Xinka-Jumaytepeque",NA,"language","North America",14.341898,-90.256519,"C America","Mesoamerica",NA,"xinc1237","xinc1244","xink1235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"xokl1240","Xokleng","xok","language","South America",-26.9217,-49.5886,"S America","SE South America",NA,"nucl1710","jeee1236","jeme1246","kain1270","xokl1240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yaak1241","Yaaku","muu","language","Africa",0.46863,37.1008,"Africa","S Africa",NA,"afro1255","cush1243","east2699","lowl1267","sout3055","tran1283","yaak1241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yabe1254","Yabem","jae","language","Papunesia",-6.67052,147.81,"NG and Oceania","N Coast New Guinea",NA,"aust1307","mala1545","east2712","ocea1241","west2818","nort3206","huon1245","nort2858","yabe1254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yagu1244","Yagua","yad","language","South America",-3.42913,-72.2186,"S America","NE South America",NA,"peba1241","yagu1244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yaka1269","Yaka-Pelende-Lonzo","yaf","language","Africa",-5.984,16.775,"Africa","S Africa",NA,"atla1278","volt1241","benu1247","bant1294","sout3152","narr1281","cent2260","west2968","nzad1235","lwer1234","ding1244","loan1238","klce1234","kiko1235","nucl1804","yaka1278","yaka1269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yaka1272","Yaka (Central African Republic)","axk","language","Africa",3.6515,17.2713,"Africa","S Africa",NA,"atla1278","volt1241","benu1247","bant1294","sout3152","narr1281","cent2260","nort3376","rive1266","liko1251","bwam1249","yaka1272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yaka1277","Yakan","yka","language","Papunesia",6.531023,122.021729,"S/SE Asia","Oceania",NA,"aust1307","mala1545","basa1291","grea1283","sama1302","yaka1277",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yaki1237","Northwest Sahaptin","yak","language","North America",46.2655,-120.756,"W N America","Basin and Plains",NA,"saha1239","saha1240","nort1527","yaki1237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yakk1236","Yakkha","ybh","language","Eurasia",27.3714,87.9306,"S/SE Asia","Indic",NA,"sino1245","hima1249","maha1306","kira1253","east2719","grea1285","yakk1236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yako1252","Yakoma","yky","language","Africa",4.1651,22.1702,"Africa","S Africa",NA,"atla1278","volt1241","nort3149","came1255","uban1244","ngba1290","ngba1280","nucl1737","yako1252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yaku1245","Sakha","sah","language","Eurasia",61.69744,133.98031,"N-C Asia","Inner Asia",NA,"turk1311","comm1245","nort2688","yaku1245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yala1262","Yalarnnga","ylr","language","Australia",-21.731,139.511,"Australia","S Australia",NA,"pama1250","galg1238","yala1262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
