"code_ID","new.name","value"
"GB569drmcC-0","GB569drmcC","0"
"GB590mC-N/A","GB590mC","N/A"
"GB590mC-?","GB590mC","?"
"GB590mC-0","GB590mC","0"
"GB590mC-1","GB590mC","1"
"GB591mC-1","GB591mC","1"
"GB591mC-N/A","GB591mC","N/A"
"GB591mC-0","GB591mC","0"
"GB591mC-?","GB591mC","?"
"GB595m-?","GB595m","?"
"GB595m-0","GB595m","0"
"GB595m-1","GB595m","1"
"GB606m-?","GB606m","?"
"GB606m-0","GB606m","0"
"GB606m-1","GB606m","1"
"GB620drmc-1","GB620drmc","1"
"GB620drmc-N/A","GB620drmc","N/A"
"GB620drmc-?","GB620drmc","?"
"GB620drmc-0","GB620drmc","0"
"GB621drmc-1","GB621drmc","1"
"GB621drmc-N/A","GB621drmc","N/A"
"GB621drmc-?","GB621drmc","?"
"GB621drmc-0","GB621drmc","0"
"GB622drmc-1","GB622drmc","1"
"GB622drmc-N/A","GB622drmc","N/A"
"GB622drmc-0","GB622drmc","0"
"GB622drmc-?","GB622drmc","?"
"GB623drmc-1","GB623drmc","1"
"GB623drmc-N/A","GB623drmc","N/A"
"GB623drmc-?","GB623drmc","?"
"GB623drmc-0","GB623drmc","0"
"GB624drmc-1","GB624drmc","1"
"GB624drmc-N/A","GB624drmc","N/A"
"GB624drmc-0","GB624drmc","0"
"GB624drmc-?","GB624drmc","?"
"GB625mC-1","GB625mC","1"
"GB625mC-0","GB625mC","0"
"GB625mC-?","GB625mC","?"
"GB625mC-N/A","GB625mC","N/A"
"GB701drm-?","GB701drm","?"
"GB701drm-1","GB701drm","1"
"GB701drm-0","GB701drm","0"
"GB702drmC-?","GB702drmC","?"
"GB702drmC-0","GB702drmC","0"
"GB702drmC-N/A","GB702drmC","N/A"
"GB702drmC-1","GB702drmC","1"
"GB703drmc-?","GB703drmc","?"
"GB703drmc-1","GB703drmc","1"
"GB703drmc-N/A","GB703drmc","N/A"
"GB703drmc-0","GB703drmc","0"
"GB704drm-?","GB704drm","?"
"GB704drm-0","GB704drm","0"
"GB704drm-1","GB704drm","1"
"GB777drm-1","GB777drm","1"
"GB777drm-0","GB777drm","0"
"GB777drm-?","GB777drm","?"
"GB800m-1","GB800m","1"
"GB800m-0","GB800m","0"
"GB800m-?","GB800m","?"
"GB800EO-bound","GB800EO","bound"
"GB800EO-N/A","GB800EO","N/A"
"GB800EO-?","GB800EO","?"
"GB800EO-non-bound","GB800EO","non-bound"
"GB850drm-1","GB850drm","1"
"GB850drm-0","GB850drm","0"
"GB850drm-?","GB850drm","?"
"GB852drmC-0","GB852drmC","0"
"GB852drmC-N/A","GB852drmC","N/A"
"GB852drmC-?","GB852drmC","?"
"GB852drmC-1","GB852drmC","1"
"GB853drm-1","GB853drm","1"
"GB853drm-0","GB853drm","0"
"GB853drm-?","GB853drm","?"
"GB887drmc-N/A","GB887drmc","N/A"
"GB887drmc-1","GB887drmc","1"
"GB887drmc-?","GB887drmc","?"
"GB887drmc-0","GB887drmc","0"
