"","glottocode","TLI0549","TLI0552","TLI0559","TLI0560","TLI0570","TLI0578","TLI0580","TLI0582","TLI0589","TLI0592","TLI0596","TLI0597","TLI0598","TLI0604","TLI0891","TLI0892","TLI0893","TLI1099","TLI1100","TLI1101","TLI1102","TLI1112","TLI1115","TLI1116"
"412","bezh1248","False","False","?","?","False","False","?","False","False","False","False","?","False","?","?","?","?","?","FALSE","FALSE","FALSE","?",NA,"M"
"419","biao1254","?","?","?","False","True","False","False","?","False","?","False","False","?","True","False","False","?","?","FALSE","TRUE","FALSE","?",NA,"M"
"432","bila1257","False","False","False","False","?","False","?","?","?","?","?","?","?","False","False","False","?","?","?","?","FALSE","?",NA,"N"
"438","bilu1245","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","False","?","?","?","?","?",NA,"?"
"447","biri1256","?","False","False","?","False","False","False","?","False","?","?","?","?","?","False","False",NA,"?","?","?","FALSE","?","N","?"
"450","bisi1244","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","True","?","?","?","?","?","?",NA,"N"
"455","biwa1243","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?",NA,"T"
"456","biyo1244","True","False","?","False","?","False","?","?","?","?","?","?","?","False","False","False","?","?","?","?","FALSE","?",NA,"N"
"458","blag1240","?","False","?","False","False","False","?","False","False","False","False","True","?","True","False","False","?","?","?","TRUE","FALSE","Neither","?","?"
"461","boga1247","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","N",NA
"462","boga1251","True","True","?","?","?","False","?","False","False","False","False","False","?","?","True","False","?","?","?","FALSE","FALSE","Neither","?","?"
"463","bogh1241","True","False","?","?","?","True","?","True","False","True","False","False","?","?","True","False","?","?","?","?","?","Neither","?","?"
"474","bond1248","?","False","False","?","?","?","True","?","?","?","False","?","?","?","True","False","?","?","FALSE","?","FALSE","?","?","?"
"477","bong1291","False","False","False","?","?","False","?","?","?","?","?","?","?","?","False","False","?","?","?","?","FALSE","?",NA,"N"
"478","bora1263","?","True","False","?","False","False","False","False","False","False","?","?","False","?","False","?","?","FALSE","FALSE","?","FALSE","Neither",NA,NA
"480","bord1248","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","TRUE","FALSE","?","?","?"
"485","boru1252","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","TRUE","FALSE","?","?","?",NA,NA
"491","brem1238","?","False","False","False","?","False","?","?","?","?","?","?","?","False","False","False","?","?","?","?","FALSE","?",NA,"N"
"492","bret1244","False","False","False","False","False","True","False","False","False","False","False","?","False","False","False","True","False","FALSE","FALSE","FALSE","FALSE","Neither","M","T"
"504","bugl1243","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","FALSE","FALSE","?",NA,NA
"510","buku1249","?","?","False","False","False","False","?","False","False","False","False","?","?","False","?","?","False","?","?","?","?","Neither","?","N"
"512","bulg1262","True","False","False","False","False","False","True","False","False","False","False","?","False","False","?","?","True","TRUE","FALSE","FALSE","FALSE","Neither",NA,"T"
"521","buna1275","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"FALSE","TRUE","?","?","?","?","?"
"524","bung1264","?","False","False","?","False","False","False","?","False","?","?","?","?","?","False","False",NA,"?","?","?","?","?",NA,"?"
"525","buno1241","?","?","?","?","?","?","True","?","?","?","False","?","?","?","True","False","?","?","FALSE","?","?","Neither","?","?"
"529","bura1292","True","False","?","?","?","True","?","False","False","False","False","False","?","?","False","True","?","?","?","FALSE","FALSE","Neither","?","?"
"531","buri1258","False","False","False","False","False","False","False","False","False","False","False","?","False","False","False","False","?","TRUE","FALSE","FALSE","FALSE","Neither",NA,NA
"534","buru1296","False","False","?","?","False","False","?","False","False","False","False","?","?","?","?","?","False","FALSE","FALSE","?","FALSE","Neither",NA,"M"
"548","cabe1245","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","TRUE","FALSE","?","?","?",NA,NA
"550","caca1247","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?",NA,"M"
"551","cacu1241","?","False","False","?","False","False","False","True","False","False","?","?","False","?","True","?","?","FALSE","FALSE","?","FALSE","Neither",NA,NA
"553","cahu1264","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","TRUE","TRUE","TRUE","FALSE","?","N",NA
"561","cams1241","?","False","False","?","False","False","False","False","False","False","?","?","False","?","True","?","?","FALSE","FALSE","FALSE","FALSE","Neither",NA,NA
"562","cand1248","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","?","?","FALSE","FALSE","?","N",NA
"567","cara1272","?","False","False","?","True","False","False","False","False","False","?","?","False","?","True",NA,"?","FALSE","FALSE","?","FALSE","TreeInBark",NA,NA
"569","cari1279","?","False","False","?","False","False","False","True","False","True","?","?","True","?","False","?","?","FALSE","TRUE","?","FALSE","TreeInBark",NA,NA
"578","cavi1250","True","False","?","?","False","False","?","True","False","False","False","?","False","?","?","?","False","FALSE","FALSE","TRUE","FALSE","BarkAndSkin",NA,"M"
"583","cent1394","?","?","?","True","True","False","False","?","False","?","False","True","?","False","True","True","?","?","FALSE","TRUE","FALSE","?",NA,NA
"588","cent2009","?","False","False","?","True","False","False","?","?","?","False","?","?","?","?","?","?","?","FALSE","?","FALSE","?",NA,"M"
"590","cent2050","False","False","?","?","True","False","?","False","False","False","False","?","False","?","?","?","?","TRUE","FALSE","?","FALSE","Neither","?","M"
"598","cent2128","True","False","?","False","False","False","False","False","?","?","False","?","False","?","False","False","False","FALSE","FALSE","TRUE","FALSE","?",NA,NA
"599","cent2131","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","FALSE","TRUE","TRUE","?","N","M"
"604","cent2142","False","False","?","?","False","False","?","False","False","False","True","?","False","?","?","?","False","TRUE","FALSE","FALSE","FALSE","Neither","N",NA
"606","cent2150","?","False","False","?","True","False","False","False","True","True","?","?","False","?","False","?","?","FALSE","FALSE","?","FALSE","BarkAndSkin",NA,NA
"610","chac1249","?","False","?","?","False","False","?","?","False","?","?","?","False","?","?","?","?","TRUE","FALSE","TRUE","FALSE","?",NA,"?"
"617","cham1313","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?",NA,"N"
"626","chay1248","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","FALSE","TRUE","TRUE","FALSE","?",NA,NA
"636","chew1245","?","False","False","True","True","False","?","True","False","True","False","?","False","True","True","True","?","?","FALSE","FALSE","FALSE","Neither",NA,"M"
"640","chib1270","?","?","?","?","?","?","?","?","?","?","?","?","?","?","True","False","False","?","?","?","?","?",NA,"M"
"647","chim1301","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?","?","M"
"649","chim1309","?","False","True","?","False","False","False","True","False","False","?","?","False","?","False","?","?","FALSE","FALSE","?","FALSE","Neither","N",NA
"651","chin1286","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","N","M"
"655","chip1262","False","True","?","?","False","False","?","False","False","False","False","?","False","?","?","?","False","?","FALSE","FALSE","FALSE","Neither","?",NA
"656","chiq1248","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","?","FALSE","FALSE","?","?","?"
"658","chiq1250","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","TRUE","FALSE","?","?","?"
"664","chok1243","True","False","?","?","?","?","False","?","False","?","?","?","?","?","False","False","False","FALSE","FALSE","?","FALSE","?",NA,"N"
"665","chol1278","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","N"
"671","chor1274","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?","?","?"
"672","chua1248","?","?","?","True","True","False","False","?","False","?","False","True","?","False","True","False","?","?","FALSE","FALSE","FALSE","?",NA,NA
"675","chug1252","?","False","False","?","True","?","?","?","False","?","False","?","?","?","?","?","?","TRUE","FALSE","?","FALSE","BarkAndSkin",NA,"N"
"679","chun1247","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","N"
"682","ciba1236","False","False","?","?","?","False","?","False","False","False","False","True","?","?","True","True","?","?","?","FALSE","FALSE","Neither","?","?"
"684","cine1238","False","False","?","?","?","False","?","False","False","False","False","False","?","?","False","False","?","?","?","FALSE","FALSE","Neither","?","?"
"688","clas1254","False","False","False","False","True","False","True","True","False","False","?","?","False","False","?","?","?","FALSE","FALSE","?","FALSE","Neither",NA,"?"
"693","coat1238","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?",NA,"M"
"698","cofa1242","True","False","?","?","True","False","?","True","False","False","True","?","False","?","?","?","True","TRUE","FALSE","TRUE","FALSE","BarkAndSkin",NA,NA
"699","cogu1240","?","False","False","?","True","False","False","True","False","False","?","?","False","?","False","?","?","FALSE","FALSE","?","TRUE","Neither","N","M"
"701","colo1256","?","False","False","?","False","False","True","False","False","False","?","?","False","?","False","?","?","TRUE","FALSE","TRUE","FALSE","BarkAndSkin",NA,"N"
"705","come1251","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","TRUE","?","?","?","?","?"
"708","copa1236","?","False","?","?","False","False","?","False","False","False","False","?","False","?","?","?","False","?","FALSE","TRUE","FALSE","Neither",NA,"M"
"719","croa1245","True","False","False","False","False","False","True","False","False","False","False","?","False","False","False","True","False","TRUE","FALSE","FALSE","FALSE","Neither",NA,"T"
"723","cube1242","?","True","False","?","True","False","False","False","False","False","?","?","False","?","True",NA,"?","FALSE","FALSE","?","FALSE","Neither",NA,"?"
"724","cuib1242","?","False","False","?","False","False","False","False","False","False","?","?","False","?","False","?","?","FALSE","FALSE","?","FALSE","Neither",NA,NA
"726","cuit1236","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?",NA,"M"
"727","culi1244","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"?","?","TRUE","FALSE","?","?","?"
"728","curr1243","?","False","False","?","False","False","False","True","False","False","?","?","False","?","False","?","?","FALSE","FALSE","?","FALSE","TreeInBark","N",NA
"735","dadi1250","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","?","?","?","?","?",NA,"N"
"736","daga1272","False","False","?","?","?","?","?","False","False","False","False","True","?","?","False","False","?","?","?","?","?","Neither","?","?"
"742","dakp1242","?","False","False","?","?","?","?","?","False","?","False","?","?","?","False","False","False","?","FALSE","?","FALSE","?",NA,NA
"746","dana1254","False","False","False","?","?","False","?","?","?","?","?","?","?","?","False","False","?","?","?","?","FALSE","?",NA,"N"
"748","dani1285","False","False","False","False","False","False","False","False","False","False","False","?","False","False","?","?","True","FALSE","FALSE","FALSE","FALSE","Neither",NA,"T"
"753","darg1241","False","False","False","False","False","False","True","False","False","False","False","?","False","False","False","False","?","TRUE","FALSE","FALSE","FALSE","Neither","N",NA
"756","darl1243","?","False","False","?","False","False","False","?","False","?","?","?","?","?","False","False",NA,"FALSE","TRUE","?","FALSE","?",NA,NA
"759","dass1243","True","False","?","?","?","True","?","False","False","False","False","True","?","?","True","False","?","?","?","?","FALSE","Neither","?","?"
"778","dera1248","True","False","?","?","?","True","?","False","False","False","False","True","?","?","True","False","False","?","?","?","?","TreeInBark","?","?"
"779","desa1247","?","False","?","?","False","False","False","False","False","False","?","?","False","?","True",NA,"?","FALSE","FALSE","?","FALSE","Neither",NA,"?"
"780","dewo1238","False","False","False","?","?","?","False","?","?","?","False","False","False","?","True","True","?","FALSE","FALSE","?","?","?","?","?"
"781","dghw1239","True","False","?","?","?","False","?","False","False","False","False","False","?","?","False","False","False","?","?","FALSE","FALSE","Neither","?","?"
"782","dhal1245","?","False","False","?","False","False","False","?","False","?","?","?","?","?","True","False",NA,"?","?","?","?","?",NA,"N"
"784","dhan1270","?","False","False","?","False","False","False","?","False","?","?","?","?","?","False","False",NA,"?","?","?","FALSE","?",NA,"N"
"790","dhuw1249","?","False","False","?","?","False","False","?","False","?","?","?","?","?","False","False",NA,"FALSE","?","?","FALSE","?",NA,"N"
